orderno;custno;name;city;regioncode;mgr;salesrep;prodno;proddesc;catcode;dat;dayName;dayInWeek;dayInMonth;dayInYear;weekNo;monthName;monthNo;quarter;year;quantity;lineTotal
1044;13;Heiden, van der;Helmond;RHMD;Gerda;Bertha;404;Volle Yoghurt;zuv;2012-03-20 00:00:00.000;Tue;3;20;80;12;Mar;3;Q1;2012;11;126.50
1046;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;401;Kaviaar;lux;2012-03-23 00:00:00.000;Fri;6;23;83;12;Mar;3;Q1;2012;23;494.50
1046;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;405;Magere Kwark;zuv;2012-03-23 00:00:00.000;Fri;6;23;83;12;Mar;3;Q1;2012;24;214.80
1047;18;Bocht;Laarbeek;RHMD;Gerda;Harrie;405;Magere Kwark;zuv;2012-03-23 00:00:00.000;Fri;6;23;83;12;Mar;3;Q1;2012;12;107.40
1048;16;Velzenmaker;Eindhoven;REHV;Klaas;Herman;407;Zwezerik;lux;2012-03-27 00:00:00.000;Tue;3;27;87;13;Mar;3;Q1;2012;12;155.40
1049;11;Jansen;Eindhoven;REHV;Klaas;Karel;402;Ganzenlever;lux;2012-03-28 00:00:00.000;Wed;4;28;88;13;Mar;3;Q1;2012;7;272.65
1050;15;Boer, de;Veghel;GVGH;Karel;Herman;402;Ganzenlever;lux;2012-03-30 00:00:00.000;Fri;6;30;90;13;Mar;3;Q1;2012;16;623.20
1051;12;Rademakers;Eindhoven;REHV;Klaas;Klaas;406;Sojamelk Naturel Biologisch;bio;2012-03-31 00:00:00.000;Sat;7;31;91;13;Mar;3;Q1;2012;20;150.00
1052;13;Heiden, van der;Helmond;RHMD;Gerda;Gerda;409;Vruchtenyoghurt Mango;zuv;2012-04-04 00:00:00.000;Wed;4;4;95;14;Apr;4;Q2;2012;11;178.75
1053;19;Zuur;Veghel;GVGH;Karel;Karel;406;Sojamelk Naturel Biologisch;bio;2012-04-06 00:00:00.000;Fri;6;6;97;14;Apr;4;Q2;2012;15;112.50
1054;19;Zuur;Veghel;GVGH;Karel;Klaas;402;Ganzenlever;lux;2012-04-09 00:00:00.000;Mon;2;9;100;15;Apr;4;Q2;2012;4;155.80
1055;18;Bocht;Laarbeek;RHMD;Gerda;Klaas;409;Vruchtenyoghurt Mango;zuv;2012-04-11 00:00:00.000;Wed;4;11;102;15;Apr;4;Q2;2012;9;146.25
1056;20;Bakermans;Waalre;REHV;Klaas;Gerda;406;Sojamelk Naturel Biologisch;bio;2012-04-13 00:00:00.000;Fri;6;13;104;15;Apr;4;Q2;2012;6;45.00
1056;20;Bakermans;Waalre;REHV;Klaas;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-04-13 00:00:00.000;Fri;6;13;104;15;Apr;4;Q2;2012;11;219.45
1057;17;Jansen;Helmond;RHMD;Gerda;Harrie;411;Sojamelk Gezoet Biologisch;bio;2012-04-16 00:00:00.000;Mon;2;16;107;16;Apr;4;Q2;2012;5;99.75
1058;12;Rademakers;Eindhoven;REHV;Klaas;Harrie;411;Sojamelk Gezoet Biologisch;bio;2012-04-18 00:00:00.000;Wed;4;18;109;16;Apr;4;Q2;2012;14;279.30
1060;15;Boer, de;Veghel;GVGH;Karel;Klaas;405;Magere Kwark;zuv;2012-04-21 00:00:00.000;Sat;7;21;112;16;Apr;4;Q2;2012;15;134.25
1059;20;Bakermans;Waalre;REHV;Klaas;Herman;408;Soja Chocolademelk Biologisch;bio;2012-04-21 00:00:00.000;Sat;7;21;112;16;Apr;4;Q2;2012;23;373.75
1061;12;Rademakers;Eindhoven;REHV;Klaas;Herman;406;Sojamelk Naturel Biologisch;bio;2012-04-28 00:00:00.000;Sat;7;28;119;17;Apr;4;Q2;2012;10;75.00
1062;13;Heiden, van der;Helmond;RHMD;Gerda;Herman;407;Zwezerik;lux;2012-05-05 00:00:00.000;Sat;7;5;126;18;May;5;Q2;2012;15;194.25
1063;11;Jansen;Eindhoven;REHV;Klaas;Karel;407;Zwezerik;lux;2012-05-09 00:00:00.000;Wed;4;9;130;19;May;5;Q2;2012;23;297.85
1064;14;Kraymans;Erp;GVGH;Karel;Karel;406;Sojamelk Naturel Biologisch;bio;2012-05-10 00:00:00.000;Thu;5;10;131;19;May;5;Q2;2012;17;127.50
1064;14;Kraymans;Erp;GVGH;Karel;Karel;408;Soja Chocolademelk Biologisch;bio;2012-05-10 00:00:00.000;Thu;5;10;131;19;May;5;Q2;2012;32;520.00
1064;14;Kraymans;Erp;GVGH;Karel;Karel;409;Vruchtenyoghurt Mango;zuv;2012-05-10 00:00:00.000;Thu;5;10;131;19;May;5;Q2;2012;13;211.25
1065;11;Jansen;Eindhoven;REHV;Klaas;Bertha;404;Volle Yoghurt;zuv;2012-05-17 00:00:00.000;Thu;5;17;138;20;May;5;Q2;2012;12;138.00
1066;13;Heiden, van der;Helmond;RHMD;Gerda;Herman;410;Soja Vanillevla Biologisch;bio;2012-05-18 00:00:00.000;Fri;6;18;139;20;May;5;Q2;2012;6;126.00
1067;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;401;Kaviaar;lux;2012-05-21 00:00:00.000;Mon;2;21;142;21;May;5;Q2;2012;6;129.00
1068;12;Rademakers;Eindhoven;REHV;Klaas;Bertha;401;Kaviaar;lux;2012-05-23 00:00:00.000;Wed;4;23;144;21;May;5;Q2;2012;22;473.00
1069;12;Rademakers;Eindhoven;REHV;Klaas;Gerda;410;Soja Vanillevla Biologisch;bio;2012-05-28 00:00:00.000;Mon;2;28;149;22;May;5;Q2;2012;18;378.00
1070;18;Bocht;Laarbeek;RHMD;Gerda;Klaas;406;Sojamelk Naturel Biologisch;bio;2012-06-01 00:00:00.000;Fri;6;1;153;22;Jun;6;Q2;2012;15;112.50
1071;13;Heiden, van der;Helmond;RHMD;Gerda;Gerda;401;Kaviaar;lux;2012-06-02 00:00:00.000;Sat;7;2;154;22;Jun;6;Q2;2012;9;193.50
1072;12;Rademakers;Eindhoven;REHV;Klaas;Bertha;406;Sojamelk Naturel Biologisch;bio;2012-06-05 00:00:00.000;Tue;3;5;157;23;Jun;6;Q2;2012;10;75.00
1073;17;Jansen;Helmond;RHMD;Gerda;Gerda;405;Magere Kwark;zuv;2012-06-06 00:00:00.000;Wed;4;6;158;23;Jun;6;Q2;2012;26;232.70
1074;17;Jansen;Helmond;RHMD;Gerda;Herman;404;Volle Yoghurt;zuv;2012-06-09 00:00:00.000;Sat;7;9;161;23;Jun;6;Q2;2012;6;69.00
1074;17;Jansen;Helmond;RHMD;Gerda;Herman;405;Magere Kwark;zuv;2012-06-09 00:00:00.000;Sat;7;9;161;23;Jun;6;Q2;2012;21;187.95
1074;17;Jansen;Helmond;RHMD;Gerda;Herman;407;Zwezerik;lux;2012-06-09 00:00:00.000;Sat;7;9;161;23;Jun;6;Q2;2012;13;168.35
1075;20;Bakermans;Waalre;REHV;Klaas;Gerda;409;Vruchtenyoghurt Mango;zuv;2012-06-12 00:00:00.000;Tue;3;12;164;24;Jun;6;Q2;2012;7;113.75
1076;14;Kraymans;Erp;GVGH;Karel;Herman;408;Soja Chocolademelk Biologisch;bio;2012-06-13 00:00:00.000;Wed;4;13;165;24;Jun;6;Q2;2012;12;195.00
1077;15;Boer, de;Veghel;GVGH;Karel;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-06-13 00:00:00.000;Wed;4;13;165;24;Jun;6;Q2;2012;15;299.25
1078;20;Bakermans;Waalre;REHV;Klaas;Gerda;403;Vruchtenyoghurt Aardbei;zuv;2012-06-15 00:00:00.000;Fri;6;15;167;24;Jun;6;Q2;2012;15;243.75
1079;19;Zuur;Veghel;GVGH;Karel;Klaas;406;Sojamelk Naturel Biologisch;bio;2012-06-17 00:00:00.000;Sun;1;17;169;25;Jun;6;Q2;2012;11;82.50
1080;14;Kraymans;Erp;GVGH;Karel;Herman;405;Magere Kwark;zuv;2012-06-22 00:00:00.000;Fri;6;22;174;25;Jun;6;Q2;2012;22;196.90
1081;14;Kraymans;Erp;GVGH;Karel;Gerda;405;Magere Kwark;zuv;2012-06-22 00:00:00.000;Fri;6;22;174;25;Jun;6;Q2;2012;5;44.75
1082;20;Bakermans;Waalre;REHV;Klaas;Klaas;409;Vruchtenyoghurt Mango;zuv;2012-06-22 00:00:00.000;Fri;6;22;174;25;Jun;6;Q2;2012;12;195.00
1083;20;Bakermans;Waalre;REHV;Klaas;Klaas;401;Kaviaar;lux;2012-06-23 00:00:00.000;Sat;7;23;175;25;Jun;6;Q2;2012;7;150.50
1083;20;Bakermans;Waalre;REHV;Klaas;Klaas;402;Ganzenlever;lux;2012-06-23 00:00:00.000;Sat;7;23;175;25;Jun;6;Q2;2012;6;233.70
1083;20;Bakermans;Waalre;REHV;Klaas;Klaas;404;Volle Yoghurt;zuv;2012-06-23 00:00:00.000;Sat;7;23;175;25;Jun;6;Q2;2012;23;264.50
1085;15;Boer, de;Veghel;GVGH;Karel;Bertha;406;Sojamelk Naturel Biologisch;bio;2012-06-27 00:00:00.000;Wed;4;27;179;26;Jun;6;Q2;2012;19;142.50
1084;18;Bocht;Laarbeek;RHMD;Gerda;Bertha;404;Volle Yoghurt;zuv;2012-06-27 00:00:00.000;Wed;4;27;179;26;Jun;6;Q2;2012;19;218.50
1086;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-07-01 00:00:00.000;Sun;1;1;183;27;Jul;7;Q3;2012;6;119.70
1087;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;404;Volle Yoghurt;zuv;2012-07-04 00:00:00.000;Wed;4;4;186;27;Jul;7;Q3;2012;21;241.50
1088;14;Kraymans;Erp;GVGH;Karel;Gerda;403;Vruchtenyoghurt Aardbei;zuv;2012-07-06 00:00:00.000;Fri;6;6;188;27;Jul;7;Q3;2012;12;195.00
1089;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;403;Vruchtenyoghurt Aardbei;zuv;2012-07-12 00:00:00.000;Thu;5;12;194;28;Jul;7;Q3;2012;11;178.75
1090;20;Bakermans;Waalre;REHV;Klaas;Gerda;407;Zwezerik;lux;2012-07-12 00:00:00.000;Thu;5;12;194;28;Jul;7;Q3;2012;22;284.90
1091;14;Kraymans;Erp;GVGH;Karel;Bertha;411;Sojamelk Gezoet Biologisch;bio;2012-07-14 00:00:00.000;Sat;7;14;196;28;Jul;7;Q3;2012;7;139.65
1092;16;Velzenmaker;Eindhoven;REHV;Klaas;Bertha;410;Soja Vanillevla Biologisch;bio;2012-07-21 00:00:00.000;Sat;7;21;203;29;Jul;7;Q3;2012;7;147.00
1093;19;Zuur;Veghel;GVGH;Karel;Karel;402;Ganzenlever;lux;2012-07-23 00:00:00.000;Mon;2;23;205;30;Jul;7;Q3;2012;15;584.25
1094;16;Velzenmaker;Eindhoven;REHV;Klaas;Harrie;405;Magere Kwark;zuv;2012-07-26 00:00:00.000;Thu;5;26;208;30;Jul;7;Q3;2012;21;187.95
1095;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;409;Vruchtenyoghurt Mango;zuv;2012-07-26 00:00:00.000;Thu;5;26;208;30;Jul;7;Q3;2012;5;81.25
1096;11;Jansen;Eindhoven;REHV;Klaas;Gerda;404;Volle Yoghurt;zuv;2012-07-26 00:00:00.000;Thu;5;26;208;30;Jul;7;Q3;2012;24;276.00
1097;17;Jansen;Helmond;RHMD;Gerda;Karel;410;Soja Vanillevla Biologisch;bio;2012-08-01 00:00:00.000;Wed;4;1;214;31;Aug;8;Q3;2012;12;252.00
1098;11;Jansen;Eindhoven;REHV;Klaas;Karel;404;Volle Yoghurt;zuv;2012-08-03 00:00:00.000;Fri;6;3;216;31;Aug;8;Q3;2012;19;218.50
1099;20;Bakermans;Waalre;REHV;Klaas;Harrie;401;Kaviaar;lux;2012-08-04 00:00:00.000;Sat;7;4;217;31;Aug;8;Q3;2012;23;494.50
1099;20;Bakermans;Waalre;REHV;Klaas;Harrie;406;Sojamelk Naturel Biologisch;bio;2012-08-04 00:00:00.000;Sat;7;4;217;31;Aug;8;Q3;2012;9;67.50
1099;20;Bakermans;Waalre;REHV;Klaas;Harrie;411;Sojamelk Gezoet Biologisch;bio;2012-08-04 00:00:00.000;Sat;7;4;217;31;Aug;8;Q3;2012;21;418.95
1100;12;Rademakers;Eindhoven;REHV;Klaas;Gerda;405;Magere Kwark;zuv;2012-08-06 00:00:00.000;Mon;2;6;219;32;Aug;8;Q3;2012;13;116.35
1101;13;Heiden, van der;Helmond;RHMD;Gerda;Karel;406;Sojamelk Naturel Biologisch;bio;2012-08-11 00:00:00.000;Sat;7;11;224;32;Aug;8;Q3;2012;19;142.50
1102;18;Bocht;Laarbeek;RHMD;Gerda;Herman;403;Vruchtenyoghurt Aardbei;zuv;2012-08-13 00:00:00.000;Mon;2;13;226;33;Aug;8;Q3;2012;30;487.50
1103;19;Zuur;Veghel;GVGH;Karel;Herman;408;Soja Chocolademelk Biologisch;bio;2012-08-17 00:00:00.000;Fri;6;17;230;33;Aug;8;Q3;2012;21;341.25
1103;19;Zuur;Veghel;GVGH;Karel;Herman;410;Soja Vanillevla Biologisch;bio;2012-08-17 00:00:00.000;Fri;6;17;230;33;Aug;8;Q3;2012;9;189.00
1104;20;Bakermans;Waalre;REHV;Klaas;Klaas;406;Sojamelk Naturel Biologisch;bio;2012-08-18 00:00:00.000;Sat;7;18;231;33;Aug;8;Q3;2012;11;82.50
1105;11;Jansen;Eindhoven;REHV;Klaas;Herman;410;Soja Vanillevla Biologisch;bio;2012-08-20 00:00:00.000;Mon;2;20;233;34;Aug;8;Q3;2012;20;420.00
1106;15;Boer, de;Veghel;GVGH;Karel;Klaas;407;Zwezerik;lux;2012-08-26 00:00:00.000;Sun;1;26;239;35;Aug;8;Q3;2012;11;142.45
1107;18;Bocht;Laarbeek;RHMD;Gerda;Karel;402;Ganzenlever;lux;2012-09-21 00:00:00.000;Fri;6;21;265;38;Sep;9;Q3;2012;11;428.45
1107;18;Bocht;Laarbeek;RHMD;Gerda;Karel;403;Vruchtenyoghurt Aardbei;zuv;2012-09-21 00:00:00.000;Fri;6;21;265;38;Sep;9;Q3;2012;20;325.00
1108;19;Zuur;Veghel;GVGH;Karel;Bertha;407;Zwezerik;lux;2012-09-24 00:00:00.000;Mon;2;24;268;39;Sep;9;Q3;2012;17;220.15
1109;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;402;Ganzenlever;lux;2012-09-24 00:00:00.000;Mon;2;24;268;39;Sep;9;Q3;2012;9;350.55
1109;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;404;Volle Yoghurt;zuv;2012-09-24 00:00:00.000;Mon;2;24;268;39;Sep;9;Q3;2012;17;195.50
1109;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;406;Sojamelk Naturel Biologisch;bio;2012-09-24 00:00:00.000;Mon;2;24;268;39;Sep;9;Q3;2012;22;165.00
1110;15;Boer, de;Veghel;GVGH;Karel;Klaas;410;Soja Vanillevla Biologisch;bio;2012-09-26 00:00:00.000;Wed;4;26;270;39;Sep;9;Q3;2012;13;273.00
1111;17;Jansen;Helmond;RHMD;Gerda;Harrie;403;Vruchtenyoghurt Aardbei;zuv;2012-09-28 00:00:00.000;Fri;6;28;272;39;Sep;9;Q3;2012;18;292.50
1112;16;Velzenmaker;Eindhoven;REHV;Klaas;Karel;408;Soja Chocolademelk Biologisch;bio;2012-10-01 00:00:00.000;Mon;2;1;275;40;Oct;10;Q4;2012;14;227.50
1113;19;Zuur;Veghel;GVGH;Karel;Harrie;403;Vruchtenyoghurt Aardbei;zuv;2012-10-04 00:00:00.000;Thu;5;4;278;40;Oct;10;Q4;2012;13;211.25
1114;18;Bocht;Laarbeek;RHMD;Gerda;Klaas;405;Magere Kwark;zuv;2012-10-05 00:00:00.000;Fri;6;5;279;40;Oct;10;Q4;2012;9;80.55
1115;17;Jansen;Helmond;RHMD;Gerda;Gerda;401;Kaviaar;lux;2012-10-05 00:00:00.000;Fri;6;5;279;40;Oct;10;Q4;2012;21;451.50
1115;17;Jansen;Helmond;RHMD;Gerda;Gerda;406;Sojamelk Naturel Biologisch;bio;2012-10-05 00:00:00.000;Fri;6;5;279;40;Oct;10;Q4;2012;22;165.00
1115;17;Jansen;Helmond;RHMD;Gerda;Gerda;407;Zwezerik;lux;2012-10-05 00:00:00.000;Fri;6;5;279;40;Oct;10;Q4;2012;13;168.35
1116;18;Bocht;Laarbeek;RHMD;Gerda;Klaas;405;Magere Kwark;zuv;2012-10-06 00:00:00.000;Sat;7;6;280;40;Oct;10;Q4;2012;6;53.70
1117;17;Jansen;Helmond;RHMD;Gerda;Harrie;404;Volle Yoghurt;zuv;2012-10-08 00:00:00.000;Mon;2;8;282;41;Oct;10;Q4;2012;5;57.50
